Key,File,Type,UsedInMainMenu,NoTranslate,english,spanish,Context
prueba_mision_1_start,,,,,"Mission Start","Comenzando la Misión",,
prueba_mision_1_desc,,,,,"Special mission to complete the game","Una misión especial para completar el juego".,,
quest_prueba_1,,,,,"","parrafo 1",,
quest_prueba_1_offer,,,,,"Collect the legendary objects that you will find around the world, mainly in boxes. \n\nCheck description for more info","Reune los objetos legendarios que encontraras por el mundo, principalmente en cajas. \n\nMas info en la descripción",,
quest_prueba_1,,,,,"Special Mission","Misión Especial",,
quest_prueba_1_subtitle,,,,,"The Artifacts","Los Artefactos",,
quest_prueba_1_description,,,,,"Collect the legendary objects that you will find around the world, mainly in boxes. \n\nKryptonite:  Electronics \nDon Quixote:  Books \nFlux Capacitor:  Gas Station \nLonginus Spear:  Weapons \nSonic Screwdiver:  Hardware"","Reune los objetos legendarios que encontraras por el mundo, principalmente en cajas. \n\nKryptonita:  Electrónica \nDon Quijote:  Libros \nCondensador de Flujo:  Gasolinera \nLanza de Longinus:  Armas \nDestornillador Sónico:  Ferretería"
prueba_mision_1,,,,,"Final Mission","Misión final",,
resourceBluePaper,,,,,"Blue Paper","Papel Azul",,
resourceBluePaperDesc,,,,,"A master paper with which you can create any recipe.","Un papel maestro con el que se puede crear cualquier receta.",,
itemToolKryptonite,,,,,"Kryptonite","Kryptonita",,
itemToolKryptoniteDesc,,,,,"The mythical Kryptonite with which to knock down Superman himself. \n\nFind in Electronics resources","La mitica Kryptonita con la que tumbar al mismísimo Superman. \n\nEncuentralo en recursos de Electrónica",,
itemToolDonQuixote,,,,,"Don Quixote","Don Quijote",,
itemToolDonQuixoteDesc,,,,,"A classic of literature. \n\nFind in Books resources","Todo un clásico de la literatura. \n\nEncuentralo en recursos de Libros",,
itemToolFluxCapacitor,,,,,"Flux Capacitor","Condensador de Flujo",,
itemToolFluxCapacitorDesc,,,,,"The key to the time machine. \n\nFind in Gas resources","La clave para la máquina del tiempo. \n\nEncuentralo en recursos de Gasolinera",,
itemToolLonginusSpear,,,,,"Longinus Spear","Lanza de Longinus",,
itemToolLonginusSpearDesc,,,,,"A spear that has mystical connotations. \n\nFind in Weapons resources","Una lanza que posee connotaciones místicas. \n\nEncuentralo en recursos de Armas",,
itemToolSonicScrewdiver,,,,,"Sonic Screwdiver","Destornillador Sónico",,
itemToolSonicScrewdiverDesc,,,,,"A multipurpose screwdriver with which to fix almost everything. \n\nFind in Hardware resources","Un destornillador multiuso con el que arreglar casi todo. \n\nEncuentralo en recursos de Ferretería",,
resourceTurd,,,,,"Only Turd","Mierda Literalmente",,
resourceTurdDesc,,,,,"A very disgusting Turd.","Un Mojón bien asqueroso.",,
workingMakina,,,,,"Recipe Machine","Máquina de Recetas",,
workingMakinaDesc,,,,,"Make any recipe available thanks to the blue papers.","Fabrica cualquier receta disponible gracias a los papeles azules.",,
workingLibros,,,,,"Books Machine",Máquina de Libros,,
workingLibrosDesc,,,,,"Is a book missing from your collection? Try to make it here with the blue papers.","¿Falta algun libro en tu colección?, prueba a fabricarlo aquí con los papeles azules.",,
workingDysmantle,,,,,"Ensamble/Dismantle Machine","Máquina Montadora/Desmontadora",,
workingDysmantleDesc,,,,,"Dismantle ammo and craft special items.","Desmonta munición y crea objetos especiales.",,
workingSemillas,,,,,"Seed Machine","Máquina de Semillas",,
workingSemillasDesc,,,,,"Obtain 1 seed for each available fruit..","Obtén 1 semilla por cada fruto disponible.",,
workingOven,,,,,"Advanced Oven","Horno Avanzado",,
workingOvenDesc,,,,,"Oven for cooking special recipes","Horno para cocinar recetas especiales.",,
workingAutominerT0,,,,,"Basic Autominer","Autominado Básico",,
workingAutominerT0Desc,,,,,"Automatic Machine to get Resources.","Máquina automática para obtener recursos.",,
workingAutominerADV,,,,,"Advanced Autominer","Autominado Avanzado",,
workingAutominerADVDesc,,,,,"Advanced machine to get all kinds of mineral resources.","Máquina avanzada para obtener todo tipo de recursos minerales.",,
foodCookingOilTM,,,,,"Cooking Oil",Botella de Aceite,,
foodCookingOilTMDesc,,,,,"A Cooking Oil Bottle.","Una botella de aceite para cocinar.",,
resourceBowlTM,,,,,"Clay Bowl","Bol de Arcilla",,
resourceBowlTMDesc,,,,,"Indispensable bowl for some food recipes.","Bol indispensable para algunas recetas de comida.",,
resourceTallowTM,,,,,"Tallow","Sebo",,
resourceTallowTMDesc,,,,,"From animal fat, necessary in different recipes.","Derivado de la grasa animal, necesario en diferentes recetas.",,
resourceBiomassTM,,,,,"Biomass","Biomasa",,
resourceBiomassTMDesc,,,,,"Very powerful vegetable product mix.","Mezcla de producto vegetal muy potente.",,
foodSugarTM,,,,,"Sugar","Azúcar",,
